date,photon_density
2019-08-28 07:44:12,3.1987
2019-08-28 07:45:16,3.3774
2019-08-28 07:46:20,3.3716
2019-08-28 07:47:24,3.2809
2019-08-28 07:48:28,2.8053
2019-08-28 07:49:32, 2.968
2019-08-28 07:50:36,3.0767
2019-08-28 07:51:40,3.0914
2019-08-28 07:52:44,3.3305
2019-08-28 07:53:48,3.2012
2019-08-28 07:54:52, 3.692
2019-08-28 07:55:56, 3.241
2019-08-28 07:57:00,2.8729
2019-08-28 07:58:04,3.1182
2019-08-28 07:59:08,3.2596
2019-08-28 08:00:12,3.1862
2019-08-28 08:01:16,   NaN
2019-08-28 08:02:20,3.4623
2019-08-28 08:03:24,3.3394
2019-08-28 08:04:28,3.3106
2019-08-28 08:05:32,3.4001
2019-08-28 08:06:36,3.3016
2019-08-28 08:07:40,3.7124
2019-08-28 08:08:44,3.4291
2019-08-28 08:09:48,3.4639
2019-08-28 08:10:52,3.6807
2019-08-28 08:11:56,3.9697
2019-08-28 08:13:00,3.8619
2019-08-28 08:14:04,3.4816
2019-08-28 08:15:08,3.4896
2019-08-28 08:16:12,3.6264
2019-08-28 08:17:16,3.5026
2019-08-28 08:18:20,3.5965
2019-08-28 08:19:24,3.3285
2019-08-28 08:20:28,4.0331
2019-08-28 08:21:32,4.0764
2019-08-28 08:22:36, 3.558
2019-08-28 08:23:40, 3.181
2019-08-28 08:24:44,3.3958
2019-08-28 08:25:48,3.2683
2019-08-28 08:26:52,3.3351
2019-08-28 08:27:56,3.8485
2019-08-28 08:29:00,3.6036
2019-08-28 08:30:04,3.4612
2019-08-28 08:31:08,3.8807
2019-08-28 08:32:12, 3.574
2019-08-28 08:33:16,3.5198
2019-08-28 08:34:20,   NaN
2019-08-28 08:35:24,   NaN
2019-08-28 08:36:28,3.5101
2019-08-28 08:37:32,3.4061
2019-08-28 08:38:36,3.4966
2019-08-28 08:39:40,3.3958
2019-08-28 08:40:44,3.3896
2019-08-28 08:41:48,3.4058
2019-08-28 08:42:52,3.4765
2019-08-28 08:43:56,3.6334
2019-08-28 08:45:00, 3.654
2019-08-28 08:46:04,3.6624
2019-08-28 08:47:08,3.6396
2019-08-28 08:48:12,3.5695
2019-08-28 08:49:16,3.6119
2019-08-28 08:50:20,3.5492
2019-08-28 08:51:24,3.4318
2019-08-28 08:52:28,3.5049
2019-08-28 08:53:32,3.4612
2019-08-28 08:54:36,3.5044
2019-08-28 08:55:40,3.7093
2019-08-28 08:56:44,3.2768
2019-08-28 08:57:48,3.2822
2019-08-28 08:58:52,3.1679
2019-08-28 08:59:56,3.0373
2019-08-28 09:01:00,3.2944
2019-08-28 09:02:04,3.3366
2019-08-28 09:03:08,3.1957
2019-08-28 09:04:12,3.0674
2019-08-28 09:05:16,2.8066
2019-08-28 09:06:20,2.9037
2019-08-28 09:07:24,   NaN
2019-08-28 09:08:28,3.3553
